osmid,y,x,street_count,accident_count,highway,ref,geometry
42460222,40.639717,-73.990823,4,1,traffic_signals,,POINT (-73.990823 40.639717)
42460223,40.639156,-73.991408,4,0,traffic_signals,,POINT (-73.991408 40.639156)
42460224,40.638602,-73.9919809,4,0,traffic_signals,,POINT (-73.9919809 40.638602)
42460225,40.638034,-73.992572,4,3,traffic_signals,,POINT (-73.992572 40.638034)
42460226,40.637476,-73.993153,4,2,traffic_signals,,POINT (-73.993153 40.637476)
42460227,40.636914,-73.993738,4,1,traffic_signals,,POINT (-73.993738 40.636914)
42460228,40.6363582,-73.9943135,4,0,traffic_signals,,POINT (-73.9943135 40.6363582)
42460229,40.6358529,-73.9948279,4,1,traffic_signals,,POINT (-73.9948279 40.6358529)
42460231,40.6357902,-73.9948941,4,0,traffic_signals,,POINT (-73.9948941 40.6357902)
42460232,40.635233,-73.995485,4,2,traffic_signals,,POINT (-73.995485 40.635233)
42460233,40.634673,-73.996067,4,1,traffic_signals,,POINT (-73.996067 40.634673)
42460234,40.634115,-73.99665,4,2,traffic_signals,,POINT (-73.99665 40.634115)
42460235,40.633556,-73.997231,4,0,traffic_signals,,POINT (-73.997231 40.633556)
42460236,40.632996,-73.997813,4,0,traffic_signals,,POINT (-73.997813 40.632996)
42460239,40.632435,-73.998397,4,1,traffic_signals,,POINT (-73.998397 40.632435)
42460243,40.631873,-73.99898,4,1,traffic_signals,,POINT (-73.99898 40.631873)
42460247,40.631315,-73.999561,4,0,traffic_signals,,POINT (-73.999561 40.631315)
42460255,40.630175,-74.000748,4,2,traffic_signals,,POINT (-74.000748 40.630175)
42460263,40.629598,-74.001349,3,2,,,POINT (-74.001349 40.629598)
42460274,40.629033,-74.001931,3,0,,,POINT (-74.001931 40.629033)
42460278,40.6287522,-74.0022229,3,0,,,POINT (-74.0022229 40.6287522)
42460281,40.628475,-74.002515,4,0,stop,,POINT (-74.002515 40.628475)
42460284,40.627916,-74.003099,4,2,stop,,POINT (-74.003099 40.627916)
42460288,40.627312,-74.003723,4,5,traffic_signals,,POINT (-74.003723 40.627312)
42460291,40.626711,-74.00435,4,0,traffic_signals,,POINT (-74.00435 40.626711)
42460294,40.626151,-74.004932,4,0,traffic_signals,,POINT (-74.004932 40.626151)
42460300,40.625455,-74.005655,4,0,traffic_signals,,POINT (-74.005655 40.625455)
42460306,40.625033,-74.006095,4,0,traffic_signals,,POINT (-74.006095 40.625033)
42460309,40.624473,-74.006678,4,0,traffic_signals,,POINT (-74.006678 40.624473)
42460312,40.623915,-74.00726,4,1,,,POINT (-74.00726 40.623915)
42460316,40.623355,-74.007839,4,1,traffic_signals,,POINT (-74.007839 40.623355)
42460318,40.622796,-74.008422,4,0,,,POINT (-74.008422 40.622796)
42460319,40.622235,-74.009002,4,2,,,POINT (-74.009002 40.622235)
42460320,40.621634,-74.00963,4,5,traffic_signals,,POINT (-74.00963 40.621634)
42460328,40.621032,-74.010257,4,1,traffic_signals,,POINT (-74.010257 40.621032)
42460339,40.620473,-74.010839,4,2,,,POINT (-74.010839 40.620473)
42460343,40.619914,-74.01142,4,0,traffic_signals,,POINT (-74.01142 40.619914)
42460346,40.619353,-74.012002,4,1,,,POINT (-74.012002 40.619353)
42460349,40.618794,-74.012584,4,1,traffic_signals,,POINT (-74.012584 40.618794)
42460353,40.618236,-74.013164,4,0,traffic_signals,,POINT (-74.013164 40.618236)
42460356,40.617676,-74.013749,4,0,traffic_signals,,POINT (-74.013749 40.617676)
42460360,40.617118,-74.014327,4,1,,,POINT (-74.014327 40.617118)
42460366,40.616558,-74.014909,4,0,traffic_signals,,POINT (-74.014909 40.616558)
42460370,40.615998,-74.015488,4,1,,,POINT (-74.015488 40.615998)
42460374,40.6153943,-74.0161257,3,2,traffic_signals,,POINT (-74.0161257 40.6153943)
42460403,40.6211503,-73.9973794,3,0,,,POINT (-73.9973794 40.6211503)
42460406,40.655742,-73.8993849,4,1,traffic_signals,,POINT (-73.8993849 40.655742)
42460415,40.6308736,-73.9106804,3,0,stop,,POINT (-73.9106804 40.6308736)
42460417,40.63222,-73.90962,4,1,traffic_signals,,POINT (-73.90962 40.63222)
42460425,40.620958,-73.917413,3,1,traffic_signals,,POINT (-73.917413 40.620958)
42460427,40.6197509,-73.9158987,4,0,traffic_signals,,POINT (-73.9158987 40.6197509)
42460428,40.6196489,-73.9157828,4,1,traffic_signals,,POINT (-73.9157828 40.6196489)
42460434,40.6192285,-73.915332,3,0,,,POINT (-73.915332 40.6192285)
42460438,40.618956,-73.91525,3,0,,,POINT (-73.91525 40.618956)
42460441,40.618022,-73.9142129,4,0,traffic_signals,,POINT (-73.9142129 40.618022)
42460444,40.61639,-73.912397,4,1,traffic_signals,,POINT (-73.912397 40.61639)
42460447,40.6147882,-73.9106067,4,0,,,POINT (-73.9106067 40.6147882)
42460498,40.611779,-73.90856,4,0,,,POINT (-73.90856 40.611779)
42460545,40.608783,-73.909964,4,0,,,POINT (-73.909964 40.608783)
42460558,40.607218,-73.912088,4,1,,,POINT (-73.912088 40.607218)
42460562,40.605572,-73.914641,3,0,,,POINT (-73.914641 40.605572)
42460574,40.656002,-73.940532,3,1,,,POINT (-73.940532 40.656002)
42460576,40.6547481,-73.9403933,4,2,traffic_signals,,POINT (-73.9403933 40.6547481)
42460579,40.653207,-73.94023,4,0,traffic_signals,,POINT (-73.94023 40.653207)
42460582,40.651276,-73.940025,4,2,traffic_signals,,POINT (-73.940025 40.651276)
42460583,40.6495139,-73.9398342,3,0,,,POINT (-73.9398342 40.6495139)
42460586,40.6299214,-73.9377389,4,2,,,POINT (-73.9377389 40.6299214)
42460587,40.627574,-73.937487,4,1,,,POINT (-73.937487 40.627574)
42460589,40.625715,-73.937288,4,1,,,POINT (-73.937288 40.625715)
42460591,40.625233,-73.936905,4,0,,,POINT (-73.936905 40.625233)
42460592,40.624691,-73.93633,3,1,,,POINT (-73.93633 40.624691)
42460593,40.6238824,-73.9354734,4,4,traffic_signals,,POINT (-73.9354734 40.6238824)
42460594,40.622937,-73.934479,3,0,,,POINT (-73.934479 40.622937)
42460595,40.622275,-73.93376,3,0,,,POINT (-73.93376 40.622275)
42460598,40.644815,-73.939329,3,1,,,POINT (-73.939329 40.644815)
42460599,40.643838,-73.939226,4,0,,,POINT (-73.939226 40.643838)
42460600,40.6415461,-73.938981,4,0,,,POINT (-73.938981 40.6415461)
42460602,40.6392,-73.938731,4,2,,,POINT (-73.938731 40.6392)
42460603,40.6368704,-73.9384809,4,3,,,POINT (-73.9384809 40.6368704)
42460605,40.6345923,-73.9382371,4,2,,,POINT (-73.9382371 40.6345923)
42460606,40.6322562,-73.9379972,3,1,,,POINT (-73.9379972 40.6322562)
42460607,40.6789936,-73.8647245,3,1,,,POINT (-73.8647245 40.6789936)
42460608,40.6791138,-73.8642426,4,0,,,POINT (-73.8642426 40.6791138)
42460610,40.68048,-73.9222606,3,0,traffic_signals,,POINT (-73.9222606 40.68048)
42460611,40.680788,-73.919574,4,1,,,POINT (-73.919574 40.680788)
42460617,40.6811008,-73.9168329,4,0,traffic_signals,,POINT (-73.9168329 40.6811008)
42460619,40.681408,-73.914178,4,3,,,POINT (-73.914178 40.681408)
42460622,40.681712,-73.911518,4,0,stop,,POINT (-73.911518 40.681712)
42460636,40.682105,-73.909055,3,0,,,POINT (-73.909055 40.682105)
42460654,40.6793892,-73.9313654,3,3,traffic_signals,,POINT (-73.9313654 40.6793892)
42460657,40.679749,-73.928651,3,0,,,POINT (-73.928651 40.679749)
42460660,40.6801109,-73.9254885,3,0,traffic_signals,,POINT (-73.9254885 40.6801109)
42460674,40.6457962,-73.9601965,3,3,,,POINT (-73.9601965 40.6457962)
42460681,40.646129,-73.959201,4,4,,,POINT (-73.959201 40.646129)
42460684,40.6465053,-73.9581057,4,4,traffic_signals,,POINT (-73.9581057 40.6465053)
42460694,40.661994,-73.919584,4,3,traffic_signals,,POINT (-73.919584 40.661994)
42460695,40.662556,-73.919626,4,0,traffic_signals,,POINT (-73.919626 40.662556)
42460698,40.6632225,-73.9197697,3,1,,,POINT (-73.9197697 40.6632225)
42460701,40.664155,-73.91961,4,0,traffic_signals,,POINT (-73.91961 40.664155)
42460705,40.6650641,-73.9193335,3,0,,,POINT (-73.9193335 40.6650641)
42460714,40.667852,-73.92102,3,1,,,POINT (-73.92102 40.667852)
42460715,40.6656386,-73.9204473,4,0,,,POINT (-73.9204473 40.6656386)
42460717,40.66409,-73.9200509,4,0,,,POINT (-73.9200509 40.66409)
42460722,40.5918918,-73.9248718,3,0,,,POINT (-73.9248718 40.5918918)
42460723,40.5928431,-73.9259317,4,1,,,POINT (-73.9259317 40.5928431)
42460725,40.5938014,-73.9269994,4,0,,,POINT (-73.9269994 40.5938014)
42460729,40.5947613,-73.9280689,4,0,,,POINT (-73.9280689 40.5947613)
42460737,40.5957182,-73.9291352,4,0,,,POINT (-73.9291352 40.5957182)
42460740,40.5966776,-73.9302041,3,0,,,POINT (-73.9302041 40.5966776)
42460762,40.611445,-74.033135,3,0,,,POINT (-74.033135 40.611445)
42460764,40.611956,-74.032693,1,0,,,POINT (-74.032693 40.611956)
42460776,40.6243046,-74.0188662,4,0,traffic_signals,,POINT (-74.0188662 40.6243046)
42460787,40.6242541,-74.0200541,5,0,traffic_signals,,POINT (-74.0200541 40.6242541)
42460801,40.623655,-74.020626,3,0,,,POINT (-74.020626 40.623655)
42460806,40.623052,-74.021132,3,0,,,POINT (-74.021132 40.623052)
42460809,40.6224581,-74.0216329,3,0,,,POINT (-74.0216329 40.6224581)
42460816,40.6219102,-74.0222917,4,0,,,POINT (-74.0222917 40.6219102)
42460821,40.621431,-74.022978,4,0,,,POINT (-74.022978 40.621431)
42460825,40.6502187,-73.9745185,3,0,,,POINT (-73.9745185 40.6502187)
42460832,40.6491753,-73.9766046,4,1,traffic_signals,,POINT (-73.9766046 40.6491753)
42460836,40.6488275,-73.9774902,4,2,traffic_signals,,POINT (-73.9774902 40.6488275)
42460839,40.648481,-73.9783694,4,1,traffic_signals,,POINT (-73.9783694 40.648481)
42460843,40.6481381,-73.9792524,4,4,traffic_signals,,POINT (-73.9792524 40.6481381)
42460846,40.6477076,-73.9803752,4,0,traffic_signals,,POINT (-73.9803752 40.6477076)
42460854,40.6470366,-73.9820427,3,1,,,POINT (-73.9820427 40.6470366)
42460856,40.6469284,-73.9823119,3,0,,,POINT (-73.9823119 40.6469284)
42460864,40.6466325,-73.9830776,3,0,,,POINT (-73.9830776 40.6466325)
42460867,40.6457686,-73.9852859,3,3,traffic_signals,,POINT (-73.9852859 40.6457686)
42460870,40.6445806,-73.9883328,3,1,traffic_signals,,POINT (-73.9883328 40.6445806)
42460872,40.6441299,-73.9890631,4,3,traffic_signals,,POINT (-73.9890631 40.6441299)
42460873,40.643645,-73.989779,4,3,traffic_signals,,POINT (-73.989779 40.643645)
42460876,40.643164,-73.990497,4,4,traffic_signals,,POINT (-73.990497 40.643164)
42460879,40.642686,-73.991213,4,3,traffic_signals,,POINT (-73.991213 40.642686)
42460882,40.642205,-73.991929,4,2,traffic_signals,,POINT (-73.991929 40.642205)
42460886,40.641728,-73.992644,4,1,traffic_signals,,POINT (-73.992644 40.641728)
42460889,40.641248,-73.993363,4,2,traffic_signals,,POINT (-73.993363 40.641248)
42460893,40.64077,-73.994077,4,2,traffic_signals,,POINT (-73.994077 40.64077)
42460894,40.6406,-73.994331,4,0,traffic_signals,,POINT (-73.994331 40.6406)
42460896,40.640288,-73.994795,4,0,traffic_signals,,POINT (-73.994795 40.640288)
42460897,40.63981,-73.99551,4,3,traffic_signals,,POINT (-73.99551 40.63981)
42460898,40.639331,-73.996227,4,1,traffic_signals,,POINT (-73.996227 40.639331)
42460901,40.638853,-73.996942,4,1,traffic_signals,,POINT (-73.996942 40.638853)
42460906,40.638374,-73.997658,4,0,traffic_signals,,POINT (-73.997658 40.638374)
42460911,40.637893,-73.998374,4,2,traffic_signals,,POINT (-73.998374 40.637893)
42460925,40.637415,-73.999091,4,3,traffic_signals,,POINT (-73.999091 40.637415)
42460934,40.636936,-73.999807,4,0,traffic_signals,,POINT (-73.999807 40.636936)
42460936,40.6364676,-74.000526,4,1,traffic_signals,,POINT (-74.000526 40.6364676)
42460941,40.635978,-74.00124,4,0,traffic_signals,,POINT (-74.00124 40.635978)
42460944,40.635497,-74.001957,4,1,traffic_signals,,POINT (-74.001957 40.635497)
42460948,40.635019,-74.002673,4,1,traffic_signals,,POINT (-74.002673 40.635019)
42460951,40.634538,-74.003388,4,0,traffic_signals,,POINT (-74.003388 40.634538)
42460956,40.63406,-74.004107,4,1,traffic_signals,,POINT (-74.004107 40.63406)
42460963,40.633084,-74.005564,4,6,traffic_signals,,POINT (-74.005564 40.633084)
42460966,40.632584,-74.006307,4,0,traffic_signals,,POINT (-74.006307 40.632584)
42460979,40.6321105,-74.0070255,4,3,traffic_signals,,POINT (-74.0070255 40.6321105)
42460982,40.63163,-74.007739,4,1,traffic_signals,,POINT (-74.007739 40.63163)
42460984,40.63115,-74.008456,4,2,traffic_signals,,POINT (-74.008456 40.63115)
42460985,40.630634,-74.009224,4,7,traffic_signals,,POINT (-74.009224 40.630634)
42460992,40.6296469,-74.0106989,4,3,traffic_signals,,POINT (-74.0106989 40.6296469)
42460996,40.629162,-74.011428,4,0,traffic_signals,,POINT (-74.011428 40.629162)
42460999,40.628684,-74.012142,4,1,traffic_signals,,POINT (-74.012142 40.628684)
42461003,40.628207,-74.012858,4,0,traffic_signals,,POINT (-74.012858 40.628207)
42461007,40.627728,-74.013572,4,1,traffic_signals,,POINT (-74.013572 40.627728)
42461010,40.627247,-74.014285,4,0,traffic_signals,,POINT (-74.014285 40.627247)
42461014,40.6267768,-74.0150095,4,2,traffic_signals,,POINT (-74.0150095 40.6267768)
42461018,40.626295,-74.015708,3,1,traffic_signals,,POINT (-74.015708 40.626295)
42461020,40.6257704,-74.016481,4,1,traffic_signals,,POINT (-74.016481 40.6257704)
42461032,40.625269,-74.017262,3,0,traffic_signals,,POINT (-74.017262 40.625269)
42461034,40.624788,-74.017976,3,0,,,POINT (-74.017976 40.624788)
42461040,40.6236172,-74.0190522,3,1,,,POINT (-74.0190522 40.6236172)
42461041,40.6229045,-74.0193752,4,0,,,POINT (-74.0193752 40.6229045)
42461045,40.622454,-74.0200759,3,0,,,POINT (-74.0200759 40.622454)
42461063,40.62095,-74.023696,4,2,traffic_signals,,POINT (-74.023696 40.62095)
42461069,40.6204285,-74.0244514,4,4,traffic_signals,,POINT (-74.0244514 40.6204285)
42461071,40.619404,-74.025373,4,0,traffic_signals,,POINT (-74.025373 40.619404)
42461074,40.618254,-74.02636,4,0,traffic_signals,,POINT (-74.02636 40.618254)
42461078,40.616949,-74.0274853,4,6,traffic_signals,,POINT (-74.0274853 40.616949)
42461084,40.61563,-74.0287,3,1,,,POINT (-74.0287 40.61563)
42461089,40.614814,-74.029402,3,1,traffic_signals,,POINT (-74.029402 40.614814)
42461094,40.613927,-74.030165,3,0,,,POINT (-74.030165 40.613927)
42461098,40.6131325,-74.0308602,3,0,,,POINT (-74.0308602 40.6131325)
42461102,40.612509,-74.031378,3,2,,,POINT (-74.031378 40.612509)
42461110,40.6119579,-74.0318674,3,1,,,POINT (-74.0318674 40.6119579)
42461334,40.585522,-73.9557743,3,0,,,POINT (-73.9557743 40.585522)
42461379,40.7008451,-73.9904111,3,0,motorway_junction,,POINT (-73.9904111 40.7008451)
42461394,40.6998267,-73.9909773,4,2,traffic_signals,,POINT (-73.9909773 40.6998267)
42461438,40.6981925,-73.9619115,5,2,traffic_signals,,POINT (-73.9619115 40.6981925)
42461484,40.6903579,-74.0000857,3,0,,,POINT (-74.0000857 40.6903579)
42461490,40.701711,-73.9605398,3,0,,,POINT (-73.9605398 40.701711)
42461534,40.6368101,-74.0189421,4,0,,,POINT (-74.0189421 40.6368101)
42461560,40.6908326,-73.9998472,3,1,,,POINT (-73.9998472 40.6908326)
42461566,40.5844888,-73.9301818,3,0,,,POINT (-73.9301818 40.5844888)
42461611,40.6168662,-74.0251132,3,0,,,POINT (-74.0251132 40.6168662)
42461626,40.617041,-74.0261666,3,0,,,POINT (-74.0261666 40.617041)
42461767,40.5857124,-73.9539801,3,0,,,POINT (-73.9539801 40.5857124)
42461914,40.608675,-74.0343482,3,2,motorway_junction,2,POINT (-74.0343482 40.608675)
42461965,40.6618319,-73.9077429,1,0,turning_circle,,POINT (-73.9077429 40.6618319)
42461967,40.6964414,-73.9785788,3,0,traffic_signals,,POINT (-73.9785788 40.6964414)
42461988,40.6293908,-74.0178208,3,0,traffic_signals,,POINT (-74.0178208 40.6293908)
42461992,40.628817,-74.016934,3,0,traffic_signals,,POINT (-74.016934 40.628817)
42462000,40.6212269,-74.0226368,1,0,,,POINT (-74.0226368 40.6212269)
42462018,40.6206886,-74.0217264,3,0,,,POINT (-74.0217264 40.6206886)
42462185,40.6992974,-73.9839589,3,0,,,POINT (-73.9839589 40.6992974)
42462219,40.703834,-73.9889306,3,0,,,POINT (-73.9889306 40.703834)
42462352,40.584226,-73.98588,3,0,,,POINT (-73.98588 40.584226)
42462387,40.5845386,-73.9854527,3,1,,,POINT (-73.9854527 40.5845386)
42462437,40.6394469,-74.0269584,4,6,traffic_signals,,POINT (-74.0269584 40.6394469)
42462450,40.6393192,-74.0235358,6,1,traffic_signals,,POINT (-74.0235358 40.6393192)
42462518,40.6399407,-74.0264556,3,0,,,POINT (-74.0264556 40.6399407)
42462648,40.631168,-73.8857846,3,3,,,POINT (-73.8857846 40.631168)
42462713,40.584381,-73.964143,3,11,,,POINT (-73.964143 40.584381)
42462719,40.584676,-73.963442,4,3,,,POINT (-73.963442 40.584676)
42462744,40.5836778,-73.9866283,4,6,traffic_signals,,POINT (-73.9866283 40.5836778)
42462873,40.6796979,-73.9007974,3,0,,,POINT (-73.9007974 40.6796979)
42462875,40.6795513,-73.8995376,3,0,,,POINT (-73.8995376 40.6795513)
42462879,40.5852669,-73.9284068,3,0,,,POINT (-73.9284068 40.5852669)
42462899,40.5848836,-73.927133,2,3,,,POINT (-73.927133 40.5848836)
42462913,40.5848962,-73.9260596,1,0,,,POINT (-73.9260596 40.5848962)
42462926,40.5852125,-73.928559,3,5,,,POINT (-73.928559 40.5852125)
42463007,40.651098,-73.920622,3,0,,,POINT (-73.920622 40.651098)
42463060,40.6301743,-73.8854267,3,5,,,POINT (-73.8854267 40.6301743)
42463099,40.6298937,-73.8847545,3,0,,,POINT (-73.8847545 40.6298937)
42463164,40.6294735,-73.8854812,3,0,,,POINT (-73.8854812 40.6294735)
42463202,40.629965,-73.8857241,3,1,,,POINT (-73.8857241 40.629965)
42463221,40.64503,-73.919976,4,4,traffic_signals,,POINT (-73.919976 40.64503)
42463222,40.6450738,-73.9194372,3,0,,,POINT (-73.9194372 40.6450738)
42463227,40.6979088,-73.9628657,3,0,,,POINT (-73.9628657 40.6979088)
42463268,40.710183,-73.9584575,3,0,,,POINT (-73.9584575 40.710183)
42463272,40.7103528,-73.9566938,4,1,,,POINT (-73.9566938 40.7103528)
42463294,40.681228,-74.002565,3,0,,,POINT (-74.002565 40.681228)
42463350,40.7124813,-73.9538909,3,1,,,POINT (-73.9538909 40.7124813)
42463363,40.7192898,-73.9453991,4,0,traffic_signals,,POINT (-73.9453991 40.7192898)
42463370,40.719604,-73.943899,5,1,traffic_signals,,POINT (-73.943899 40.719604)
42463374,40.7199988,-73.9442114,5,1,traffic_signals,,POINT (-73.9442114 40.7199988)
42463393,40.6634605,-73.9984333,4,0,traffic_signals,,POINT (-73.9984333 40.6634605)
42463398,40.6632613,-73.9981029,4,1,traffic_signals,,POINT (-73.9981029 40.6632613)
42463482,40.5838303,-73.9708412,4,1,traffic_signals,,POINT (-73.9708412 40.5838303)
42463494,40.6151929,-74.0262315,3,0,,,POINT (-74.0262315 40.6151929)
42463529,40.6307788,-73.886432,4,0,traffic_signals,,POINT (-73.886432 40.6307788)
42463605,40.6206208,-74.0231565,1,0,,,POINT (-74.0231565 40.6206208)
42463609,40.6199478,-74.0236572,4,2,traffic_signals,,POINT (-74.0236572 40.6199478)
42463626,40.5878064,-73.9914771,3,0,stop,,POINT (-73.9914771 40.5878064)
42463651,40.6819973,-74.0025967,3,1,,,POINT (-74.0025967 40.6819973)
42463657,40.6818931,-74.0022487,3,0,traffic_signals,,POINT (-74.0022487 40.6818931)
42463694,40.6415094,-74.0298208,3,1,motorway_junction,1,POINT (-74.0298208 40.6415094)
42463727,40.6913874,-73.9984961,3,0,,,POINT (-73.9984961 40.6913874)
42463817,40.6049697,-74.017467,3,1,,,POINT (-74.017467 40.6049697)
42463891,40.6533976,-74.0059629,3,0,,,POINT (-74.0059629 40.6533976)
42463965,40.7016075,-73.9932731,3,0,,,POINT (-73.9932731 40.7016075)
42463992,40.5957363,-74.0003587,4,2,traffic_signals,,POINT (-74.0003587 40.5957363)
42464043,40.6194992,-74.0228891,4,4,traffic_signals,,POINT (-74.0228891 40.6194992)
42464054,40.6803701,-73.8764813,3,0,,,POINT (-73.8764813 40.6803701)
42464067,40.6811777,-73.8736153,4,0,traffic_signals,,POINT (-73.8736153 40.6811777)
42464075,40.680522,-73.873927,1,0,,,POINT (-73.873927 40.680522)
42464077,40.679862,-73.873758,1,0,,,POINT (-73.873758 40.679862)
42464128,40.5850439,-73.988201,3,1,,,POINT (-73.988201 40.5850439)
42464160,40.5856825,-73.990673,3,0,,,POINT (-73.990673 40.5856825)
42464200,40.7242061,-73.937621,5,3,traffic_signals,,POINT (-73.937621 40.7242061)
42464209,40.710344,-73.922933,4,3,,,POINT (-73.922933 40.710344)
42464239,40.7016683,-73.9614463,4,15,traffic_signals,,POINT (-73.9614463 40.7016683)
42464290,40.7200741,-73.9451122,3,0,,,POINT (-73.9451122 40.7200741)
42464292,40.7195297,-73.945558,4,1,traffic_signals,,POINT (-73.945558 40.7195297)
42464341,40.677774,-73.915426,3,1,,,POINT (-73.915426 40.677774)
42464344,40.6766669,-73.9155226,3,1,,,POINT (-73.9155226 40.6766669)
42464355,40.5768816,-73.9528857,5,3,traffic_signals,,POINT (-73.9528857 40.5768816)
42464365,40.5769521,-73.9519206,4,0,,,POINT (-73.9519206 40.5769521)
42464368,40.5770524,-73.9510038,4,0,,,POINT (-73.9510038 40.5770524)
42464374,40.5771528,-73.9500854,4,0,,,POINT (-73.9500854 40.5771528)
42464377,40.577254,-73.9491612,4,0,,,POINT (-73.9491612 40.577254)
42464380,40.577355,-73.9482388,4,1,,,POINT (-73.9482388 40.577355)
42464383,40.5775693,-73.9462882,3,0,,,POINT (-73.9462882 40.5775693)
42464385,40.5776708,-73.9453693,3,0,,,POINT (-73.9453693 40.5776708)
42464386,40.5777715,-73.9444569,3,0,,,POINT (-73.9444569 40.5777715)
42464388,40.5779821,-73.9425855,3,0,,,POINT (-73.9425855 40.5779821)
42464389,40.5780851,-73.9416591,3,0,,,POINT (-73.9416591 40.5780851)
42464392,40.5781848,-73.9407481,3,0,,,POINT (-73.9407481 40.5781848)
42464396,40.5783316,-73.9388682,3,0,,,POINT (-73.9388682 40.5783316)
42464397,40.5783567,-73.9379425,3,0,,,POINT (-73.9379425 40.5783567)
42464398,40.5783756,-73.9372105,4,0,,,POINT (-73.9372105 40.5783756)
42464401,40.5784011,-73.9362268,3,0,,,POINT (-73.9362268 40.5784011)
42464407,40.5781357,-73.9319375,3,0,,,POINT (-73.9319375 40.5781357)
42464409,40.7127944,-73.9372532,3,6,,,POINT (-73.9372532 40.7127944)
42464411,40.7131741,-73.9373978,3,0,,,POINT (-73.9373978 40.7131741)
42464415,40.7138277,-73.9373419,4,1,stop,,POINT (-73.9373419 40.7138277)
42464419,40.714537,-73.937294,3,2,,,POINT (-73.937294 40.714537)
42464433,40.6363959,-73.9461098,4,2,,,POINT (-73.9461098 40.6363959)
42464434,40.6341307,-73.9458694,4,2,,,POINT (-73.9458694 40.6341307)
42464435,40.631778,-73.945617,4,2,,,POINT (-73.945617 40.631778)
42464439,40.6310111,-73.9457423,3,1,,,POINT (-73.9457423 40.6310111)
42464442,40.650899,-73.947656,4,4,traffic_signals,,POINT (-73.947656 40.650899)
42464444,40.6490409,-73.9474672,4,1,traffic_signals,,POINT (-73.9474672 40.6490409)
42464445,40.646964,-73.947241,4,0,,,POINT (-73.947241 40.646964)
42464452,40.6452503,-73.947059,4,0,,,POINT (-73.947059 40.6452503)
42464454,40.644496,-73.946977,4,2,,,POINT (-73.946977 40.644496)
42464457,40.643362,-73.946856,4,0,,,POINT (-73.946856 40.643362)
42464460,40.6410732,-73.9466123,4,2,,,POINT (-73.9466123 40.6410732)
42464463,40.6401162,-73.946509,3,0,,,POINT (-73.946509 40.6401162)
42464467,40.630044,-73.94552,3,0,,,POINT (-73.94552 40.630044)
42464469,40.6293853,-73.9454024,4,1,,,POINT (-73.9454024 40.6293853)
42464472,40.6269953,-73.9449516,4,0,traffic_signals,,POINT (-73.9449516 40.6269953)
42464475,40.6246047,-73.9444974,4,0,traffic_signals,,POINT (-73.9444974 40.6246047)
42464478,40.622208,-73.944044,4,2,,,POINT (-73.944044 40.622208)
42464482,40.6198231,-73.9435964,4,0,,,POINT (-73.9435964 40.6198231)
42464505,40.616816,-73.943958,4,0,traffic_signals,,POINT (-73.943958 40.616816)
42464509,40.6144187,-73.9415109,4,0,,,POINT (-73.9415109 40.6144187)
